,id,identifier,formula,temperature,energy,volume,⟨S²σ⟩p,⟨S²σ⟩n,κₑᵉ
193,5e5dbf125a4b4bd4eb1ed6c0,mp-754912,LiCuO2,300,-19.8503008,38.84556927069385,26440.4,26.4737,36319400.0
194,5e5dbf125a4b4bd4eb1ed6c1,mp-779587,TiPO4,300,-288.34465498,452.0665172045414,2611.76,2.61202,25819500.0
195,5e5dbf125a4b4bd4eb1ed6c2,mp-607806,Ho3Se3N,300,-182.17812041,680.3725124694512,8354.17,8.97441,975.274
196,5e5dbf125a4b4bd4eb1ed6c3,mp-776387,Ti2N2O,300,-186.26446282,225.85161609443892,10747.9,7.84306,743.163
197,5e5dbf125a4b4bd4eb1ed6c4,mp-7006,mp-7006,300,-38.42980927,69.2491712740484,15459.1,15.4606,1061950000.0
200,5e5dbf125a4b4bd4eb1ed6c7,mp-29928,Na3Li3N2,300,-26.46607664,121.18429196811948,1892.51,1.90213,10158300.0
201,5e5dbf135a4b4bd4eb1ed6c8,mp-557802,K2Be(Si2O5)2,300,-491.9053388,968.8989203125916,196.019,8.80025,1170.78
202,5e5dbf135a4b4bd4eb1ed6c9,mp-542846,AsS,300,-72.38076658,490.9150158096066,9074.99,7.0455,354.504
205,5e5dbf135a4b4bd4eb1ed6cc,mp-9580,TlGaSe2,300,-29.27084642,221.12754766527908,5194.6,10.4729,1536.81
206,5e5dbf135a4b4bd4eb1ed6cd,mp-558981,SrBe2(BO3)2,300,-329.36888949,458.95192443341665,370.565,8.99226,1048.46
207,5e5dbf135a4b4bd4eb1ed6ce,mp-2778,HoAg,300,-8.07955597,47.759683924248414,10072.9,10.0725,1162920000.0
208,5e5dbf135a4b4bd4eb1ed6cf,mp-5163,LaRhO3,300,-151.16652629,257.89193513848994,7120.07,4.79395,125.466
209,5e5dbf145a4b4bd4eb1ed6d0,mp-754933,SmTlO2,300,-26.09096074,73.54292405449188,15831.3,17.3126,864.249
210,5e5dbf145a4b4bd4eb1ed6d1,mp-569594,Fe7Mo6,300,-124.06519763,166.94249383958203,17645.2,17.6457,152614000.0
211,5e5dbf145a4b4bd4eb1ed6d2,mp-772876,BaSr2I6,300,-119.75304443,1849.5688518916004,1681.44,9.1233,1099.01
212,5e5dbf145a4b4bd4eb1ed6d3,mp-31980,LiMn(PO3)4,300,-254.81120621,483.19646530188186,3410.67,2.17338,93.4772
213,5e5dbf145a4b4bd4eb1ed6d4,mp-24308,AlSiH9C3Cl2O,300,-351.52191882,1011.9090243796237,252.18,8.95339,750.417
214,5e5dbf145a4b4bd4eb1ed6d5,mp-975050,Rb3Co,300,-6.50032093,201.02840782752892,22640.6,22.6377,58462700.0
215,5e5dbf145a4b4bd4eb1ed6d6,mp-653429,Mn7FeCl3O10,300,-289.52325771,594.6377007973251,598.061,5.43308,606.401
217,5e5dbf155a4b4bd4eb1ed6d8,mp-758957,As2HPbF13,300,-611.5196861,1957.896555857924,52.1032,5.85646,442.295
218,5e5dbf155a4b4bd4eb1ed6d9,mp-773194,Li4Mn5V3O16,300,-197.91840226,293.7679302666546,2039.26,2.09902,121.196
219,5e5dbf155a4b4bd4eb1ed6da,mp-753081,Li3(CuO)4,300,-53.42062847,136.9806729480452,35631.8,35.6263,69358900.0
220,5e5dbf155a4b4bd4eb1ed6db,mp-707941,Na3H(SO4)2,300,-314.47572993,749.3382729640501,51.0162,8.8515,921.805
221,5e5dbf155a4b4bd4eb1ed6dc,mp-9383,SrHfN2,300,-33.83290614,57.78738202959197,11098.8,21.4565,1824.07
222,5e5dbf155a4b4bd4eb1ed6dd,mp-16988,SrCu2SnS4,300,-109.91096474,543.8841925359366,1239.78,10.2427,4490.88
224,5e5dbf155a4b4bd4eb1ed6df,mp-20903,PrIn3,300,-14.8579954,107.1443400528344,114884.0,114.861,1567830000.0
225,5e5dbf155a4b4bd4eb1ed6e0,mp-757206,BaTi6O12,300,-332.81013161,469.2371449729439,1539.87,1.53963,31174200.0
226,5e5dbf165a4b4bd4eb1ed6e1,mp-672225,BaZn13,300,-41.46583254,477.04019075167116,23243.2,23.2483,638627000.0
227,5e5dbf165a4b4bd4eb1ed6e2,mp-556437,Gd10S14O,300,-1031.49376885,2138.6405161211433,11545.8,0.035686,1.02969
228,5e5dbf165a4b4bd4eb1ed6e3,mp-768254,Gd3AsO7,300,-450.56936785,572.4402666173937,2092.07,5.31969,664.579
229,5e5dbf165a4b4bd4eb1ed6e4,mp-2391,YbPd3,300,-19.85158792,68.10075027073118,3430.95,3.43099,980182000.0
230,5e5dbf165a4b4bd4eb1ed6e5,mp-12383,Sc2Te3,300,-112.92149514,607.1332175619409,9462.9,9.48287,53791600.0
231,5e5dbf165a4b4bd4eb1ed6e6,mp-19879,PPd3,300,-91.4802754,240.6362302236621,9964.78,9.96439,584607000.0
232,5e5dbf165a4b4bd4eb1ed6e7,mp-19113,CoTeO3,300,-113.07296976,247.18847108057037,2896.03,4.93257,481.79
233,5e5dbf165a4b4bd4eb1ed6e8,mp-977176,NaTcO3,300,-34.36952928,58.23347864391718,898.169,0.898188,1420020000.0
234,5e5dbf175a4b4bd4eb1ed6e9,mp-560280,TeC6(ClF7)2,300,-235.96092023,752.982307751242,823.972,0.799891,20.3491
235,5e5dbf175a4b4bd4eb1ed6ea,mp-754759,Y2O3,300,-90.6257896,149.7031277090154,1230.36,8.8353,1104.98
236,5e5dbf175a4b4bd4eb1ed6eb,mp-778873,BaCe2O4,300,-220.94211277,486.33958910757434,6938.83,6.93779,24781100.0
237,5e5dbf175a4b4bd4eb1ed6ec,mp-570597,La2GeI2,300,-24.01767458,193.46922041370183,6798.99,18.8778,1210.37
239,5e5dbf175a4b4bd4eb1ed6ee,mp-976128,Hf5Sc,300,-56.18618831,135.7679727650594,16367.8,16.3705,498206000.0
240,5e5dbf175a4b4bd4eb1ed6ef,mp-334,LaF3,300,-163.49546569,335.92334338037034,4022.9,0.391232,2.78005
241,5e5dbf175a4b4bd4eb1ed6f0,mp-676319,Dy2Zr2O7,300,-195.01274051,289.7852128014646,5062.4,7.80566,755.486
242,5e5dbf185a4b4bd4eb1ed6f1,mp-974738,KSr3,300,-5.75069724,233.05019956292273,18021.8,18.0267,406015000.0
